name,link,tagline,likes,usedBy
Button Generator,https://www.figma.com/community/plugin/750298912003944521/button-generator,"Button Generator does what it says on the box, it generates button components with no fuss.",420,128000
Wave & Сurve,https://www.figma.com/community/plugin/745971189153303901/wave-urve,With «Wave & Curve» you can easily create a variety of waves and interesting patterns!,1700,127000
Measure,https://www.figma.com/community/plugin/739918456607459153/measure,Add measurement lines and additional helpful information to your designs,2300,125000
Grainy Gradient,https://www.figma.com/community/plugin/1176149589166146593/grainy-gradient,Add a trendy twist to your designs with Grainy Gradient.,1100,122000
A Little Bit Mockup,https://www.figma.com/community/plugin/1149987037748021167/a-little-bit-mockup,Simple device frames to make your design looks more real,458,116000
oblique,https://www.figma.com/community/plugin/876352455198080607/oblique,create oblique projections of any shape.,2300,116000
Vectorize,https://www.figma.com/community/plugin/1085676099704803176/vectorize,Convert bitmap images to vector.,551,114000
Easy Mockup,https://www.figma.com/community/plugin/1180592708021765520/easy-mockup,The easiest way to create mockups.,540,113000
BlendingMe,https://www.figma.com/community/plugin/887243243437608411/blendingme,"BlendingMe is a user-friendly plugin that allows you to blend two paths, lines, ellipses, rectangles",1400,112000
Downsize,https://www.figma.com/community/plugin/869495400795251845/downsize,Compress and resize images without leaving Figma or FigJam!,1500,112000
Curve Text,https://www.figma.com/community/plugin/1331748701210388011/curve-text,"From circles, squares, arches, to custom paths – bend your text any way you want!",1800,111000
Aninix · UI animation,https://www.figma.com/community/plugin/988173868842375596/aninix-ui-animation,"Сreate motion design systems, export animations for promos, and generate animation specifications",1800,110000
SVG motion,https://www.figma.com/community/plugin/1077659774432109711/svg-motion,Plugin for Figma which helps to create attractive animations for your product.,2000,108000
Vector to 3D,https://www.figma.com/community/plugin/1264600219316901594/vector-to-3d,Brings 3D design into your Figma workflow seamlessly.,3200,105000
Unbackground,https://www.figma.com/community/plugin/1181637104403040691/unbackground,One click background removal by AI - free,586,104000
Figma Chat,https://www.figma.com/community/plugin/742073255743594050/figma-chat,"An easy to use chat for figma, figjam and dev mode",1000,99200
Export Figma to Websites and HTML by Siter.io,https://www.figma.com/community/plugin/1014191120140241695/export-figma-to-websites-and-html-by-siter-io,Publish Figma designs as websites without the need for coding. Embed HTML code into your website.,1200,98100
Design Lint,https://www.figma.com/community/plugin/801195587640428208/design-lint,Find and fix errors in your designs,3500,98000
Clean Document,https://www.figma.com/community/plugin/767379019764649932/clean-document,Automagically organize and clean up your Figma document,2000,96800
GiffyCanvas,https://www.figma.com/community/plugin/803633147991628761/giffycanvas,Create your own high quality animated GIFs for Free.,1000,96800
Deck,https://www.figma.com/community/plugin/1140054344941215008/deck,Figma to Powerpoint converter,2100,95600
FigGPT,https://www.figma.com/community/plugin/1207913933994957698/figgpt,Use ChatGPT in Figma or FigJam! 🎉,2000,95000
Emailify HTML Email Builder,https://www.figma.com/community/plugin/910671699871076601/emailify-html-email-builder,"Design and export responsive, production ready HTML emails from Figma",1400,91400
AI image generator by Freepik,https://www.figma.com/community/plugin/1253173167259963280/ai-image-generator-by-freepik,Use AI to create the perfect image or photo for your Figma designs (from Freepik),1200,90400
Image Editor,https://www.figma.com/community/plugin/914972720109480252/image-editor,📺 Demo video on YouTube💡 Features:Manipulate an image with many different color adjustments and filtersSave and load your own presetsPlugin takes and keeps the original resolution of the image.,1400,88400
BENZIN - remove background for free,https://www.figma.com/community/plugin/912436486778130560/benzin-remove-background-for-free,It's FREE now!,478,87600
CopyDoc Text Kit,https://www.figma.com/community/plugin/900893606648879767/copydoc-text-kit,"Everything you need to easily export, import, localize, spell check, and update Figma text",866,84600
SVG Export,https://www.figma.com/community/plugin/814345141907543603/svg-export,Export tiny SVG files and control every aspect of how they're exported with presets. Powered by svgo,670,82000
Styles & Variables Organizer,https://www.figma.com/community/plugin/816627069580757929/styles-variables-organizer,Link values used in design to styles and variables easily!,2200,80900
Typescale,https://www.figma.com/community/plugin/967802396210455992/typescale,Harmonious typographic scales,884,78600
Neumorphism,https://www.figma.com/community/plugin/810863251895788520/neumorphism,Create beautiful neumorphistic designs in just a few seconds.,1400,78600
Codia AI Design: Screenshot to Editable Figma Design,https://www.figma.com/community/plugin/1329812760871373657/codia-ai-design-screenshot-to-editable-figma-design,"Capture, Transform, Create! Transform Screenshot into Stunning Editable Figma Designs with Ease!",1400,78600
Google Maps - Map Maker (free),https://www.figma.com/community/plugin/1355599702563225237/google-maps-map-maker-free,Add a Google Map to your pages in 2 easy clicks :),272,78100
Lanhu · 蓝湖,https://www.figma.com/community/plugin/1000018270921149282/lanhu,Lanhu,1800,77200
Figma Exporter,https://www.figma.com/community/plugin/1183975085577339184/figma-exporter,Easily export assets of png/jpg/webp/svg/pdf for Web/Android/Flutter/iOS/ReactNative,219,77000
Confetti,https://www.figma.com/community/plugin/732876968584257019/confetti,Effortlessly generate gorgeous confetti patterns with a few clicks.,681,76800
Font Replacer Ultimate 🔁 Swap change and replace fonts,https://www.figma.com/community/plugin/1100808562040625391/font-replacer-ultimate-swap-change-and-replace-fonts,Replace fonts through all pages and artboards,211,76200
Glassmorphism,https://www.figma.com/community/plugin/1197106608665398190/glassmorphism,Add a sense of depth and texture to your designs.,972,74900
Web to Figma,https://www.figma.com/community/plugin/1297530151115228662/web-to-figma,Import any website into Figma as editable design. Goodbye screenshots.,1400,73200
Chroma Colors,https://www.figma.com/community/plugin/739237058450529919/chroma-colors,Create bulk color styles from selection,753,71900
Find and Replace Colors,https://www.figma.com/community/plugin/806266638862897503/find-and-replace-colors,Quickly recolor for templates,552,71100
"Compressed PDF and Image Exporter (PDF, PNG, JPG, WebP)",https://www.figma.com/community/plugin/1217632496996584187/compressed-pdf-and-image-exporter-pdf-png-jpg-webp,Export compressed PDFs and images at efficient file sizes from Figma while controlling for quality.,311,71000
Automatic Style Guides,https://www.figma.com/community/plugin/838622388628773312/automatic-style-guides,Generate style guides,1400,70500
Mobbin,https://www.figma.com/community/plugin/1332649462188834894/mobbin,Paste screens and flows copied from Mobbin into Figma,1900,70200
Instance Finder,https://www.figma.com/community/plugin/741895659787979282/instance-finder,Find all Instances of a Component used in your file.,1100,69900
Quick Tracing,https://www.figma.com/community/plugin/1161618766697969707/quick-tracing,"Convert any selection(Layer, Frame, Image … ) into a vector.",712,69800
Ghost,https://www.figma.com/community/plugin/1017135840453013129/ghost,Ghost is a lightweight plugin that converts high fidelity mockups to loading or “skeleton” screens.,2200,69700
Type Tool,https://www.figma.com/community/plugin/1183722659656348694/type-tool,Advanced text transformations directly in Figma.,656,69700
pdf.to.design (Privacy-First)— Import any PDF to Figma,https://www.figma.com/community/plugin/1280917768965269588/pdf-to-design-privacy-first-import-any-pdf-to-figma,Convert any PDF document into Figma designs. 100% PRIVATELY.,763,69000
Nisa Text,https://www.figma.com/community/plugin/739048247603902878/nisa-text,The powerful Figma plugin for text manipulation,972,68800
ProToFlow,https://www.figma.com/community/plugin/989539821393693492/protoflow,Generate Flow Arrows based on Prototype Interactions,754,68700
Contrast,https://www.figma.com/community/plugin/911262488575486588/contrast,Quickly run a visual contrast report on your design.,261,68400
Effects,https://www.figma.com/community/plugin/1326067067584608052/effects,"Nice gradients, noises and 3D effects",988,68100
Color Compass,https://www.figma.com/community/plugin/754415266574382747/color-compass,Quickly navigate the color spectrum with designer-focused accuracy.,967,67500
Super Tidy,https://www.figma.com/community/plugin/731260060173130163/super-tidy,Tidy your canvas in one click.,1300,67500
"QoQo.ai - AI generated UX personas, journey mapping, sitemap, and copywriting",https://www.figma.com/community/plugin/1189158575928509194/qoqo-ai-ai-generated-ux-personas-journey-mapping-sitemap-and-copywriting,Save up to 80% on your UX design research time.,1200,67400
Easing Gradients,https://www.figma.com/community/plugin/907899097995668330/easing-gradients,Create smooth gradient transitions with cubic easing functions ✨Allows smoothing of gradient fills in Figma using custom cubic-bézier or step easing functions (think of transition easing).,1000,66400
Mockplus,https://www.figma.com/community/plugin/906006256595978208/mockplus,Design Faster. Collaborate Better.,614,65600
3D Wave: Soften everything like fabric,https://www.figma.com/community/plugin/1026141971534783843/3d-wave-soften-everything-like-fabric,New Effect with Figma!,960,64900
Color contrast,https://www.figma.com/community/plugin/937465522075454889/color-contrast,Check contrast according to WCAG guidelines and apply changes directly to your artwork.,335,63800
Shadow Maker,https://www.figma.com/community/plugin/889676455045507628/shadow-maker,"Generate beautiful, smooth shadows with direction, color, and opacity controls.",842,63500
Duotones,https://www.figma.com/community/plugin/775712743044356003/duotones,Apply Duotone Effect Filter on images.,1000,63200
Vectorized (PNG to SVG),https://www.figma.com/community/plugin/1293850942618899708/vectorized-png-to-svg,Convert bitmap-type images into vector graphics,304,62600
Scale,https://www.figma.com/community/plugin/836326694968364056/scale,"Scale to any width, height, or percent. Resize multiple objects to the same size at once.",689,62400
Text to Design - AI Assistant,https://www.figma.com/community/plugin/1234140943476658588/text-to-design-ai-assistant,Turn your ideas or images into Figma designs with AI.,617,62300
Simpleflow,https://www.figma.com/community/plugin/751821593330638172/simpleflow,🪄 Effortlessly create flow chart diagram inside Figma file with native FigJam connector (arrow),1300,62000
Bannerify Banner Studio,https://www.figma.com/community/plugin/796124491692147799/bannerify-banner-studio,"Animate and export production ready banners from Figma to HTML, GIFs and Videos",802,61500
Fast Isometric,https://www.figma.com/community/plugin/1249759048471403961/fast-isometric,Fast isometric shapes creator. Accelerate your 3D illustration.,1000,61300
Shapes 3D,https://www.figma.com/community/plugin/1266663542116780385/shapes-3d,Create cool 3D effects from vectors,529,60700
Sorter,https://www.figma.com/community/plugin/742038190980789811/sorter,Quickly sort layers in different ways,993,60500
UI Color Palette,https://www.figma.com/community/plugin/1063959496693642315/ui-color-palette,"Create, Manage, Deploy & Publish WCAG-compliant color palettes.",585,60100
SVG Animate,https://www.figma.com/community/plugin/980366185319754464/svg-animate,Bring your Figma creations to life with stunning animations and seamless export to web and video.,410,60000
"Image - Remove Background, Upscale, Downsize, Compress, Edit image",https://www.figma.com/community/plugin/1192319987122007459/image-remove-background-upscale-downsize-compress-edit-image,The ultimate tool for image processing,326,58700
Translator,https://www.figma.com/community/plugin/743218037112142643/translator,Language superpowers for Figma.,669,58700
Chart Maker,https://www.figma.com/community/plugin/1019974184922505532/chart-maker,Chart Maker is a chart plugin based on Nivo.,377,58300
Musho AI,https://www.figma.com/community/plugin/1302057916867700387/musho-ai,From Simple Prompt to High Fidelity Landing Pages,2000,57500
"Figma to Dora - publish 3D websites, zero code",https://www.figma.com/community/plugin/1237284331245025847/figma-to-dora-publish-3d-websites-zero-code,"Design in Figma, Build in Dora. Create Websites with Ease",721,57100
Tints and Shades,https://www.figma.com/community/plugin/943569346291474506/tints-and-shades,Generate lighter and darker variations of any color.,639,55900
"Codelessly - Figma to Websites and Apps (Figma to Code, Figma to Flutter, HTML, CSS)",https://www.figma.com/community/plugin/1161011137906343262/codelessly-figma-to-websites-and-apps-figma-to-code-figma-to-flutter-html-css,"Convert designs into working UI, Apps, and Websites.",222,55100
Color wheel palette generator,https://www.figma.com/community/plugin/1286792998372727741/color-wheel-palette-generator,Generate color palettes,173,54900
Text ARC,https://www.figma.com/community/plugin/1338939153056791191/text-arc,"Generator for circular text, and arc text. 功能强大的曲线文字生成工具。",102,54600
Typper - Images,https://www.figma.com/community/plugin/1215781288748657078/typper-images,Unleash the Power of AI to Elevate Your Design Workflow with Typper Plugin!,202,54300
SUPA - Figma to video,https://www.figma.com/community/plugin/908257968215073824/supa-figma-to-video,Create video from Figma design,562,53900
Remove Background (Privacy-First),https://www.figma.com/community/plugin/1278756064864777232/remove-background-privacy-first,Remove background from images 100% privately,789,53700
UI Elements - The Ultimate Design Library,https://www.figma.com/community/plugin/1336369411549677436/ui-elements-the-ultimate-design-library,Unleash Creativity: Unlimited UI Elements at Your Fingertips.,255,53500
